Section / State,ID,Requirement,Spec Ref,Priority,Notes / RTL Mapping,Phase,Status,Assignee,Method
6. MBINIT.REVERSALMB,LR-07,Must exit to TRAINERROR on detection failure,4.5.3.3.5,P0,,1,Not Started,,
7. MBINIT.REPAIRMB,RM-01,Must send 128 iterations of Per Lane ID pattern (unscrambled) for lane testing,4.5.3.3.6,P0,,1,Not Started,,
7. MBINIT.REPAIRMB,RM-02,Rx must check pass/fail on data lanes and redundant lanes,4.5.3.3.6,P0,,1,Not Started,,
7. MBINIT.REPAIRMB,RM-05,"If post-repair errors persist, must exit to TRAINERROR",4.5.3.3.6,P0,,1,Not Started,,
7. MBINIT.REPAIRMB,RM-07,"If unrepairable, must exit to TRAINERROR",4.5.3.3.6,P0,,1,Not Started,,
7. MBINIT.REPAIRMB,RM-08,"On {MBINIT.REPAIRMB end resp}, must exit to MBTRAIN",4.5.3.3.6,P0,,1,Not Started,,
8. MBTRAIN.VALVREF,VV-01,Partner must set forwarded clock phase at center of data UI on Tx,4.5.3.4.1,P0,,1,Not Started,,
8. MBTRAIN.VALVREF,VV-02,Must sample Valid with forwarded clock; all data lanes and Track held low,4.5.3.4.1,P0,mbLaneCtrilo,1,Not Started,,
8. MBTRAIN.VALVREF,VV-03,Must use 128 iterations of continuous VALTRAIN pattern (unscrambled),4.5.3.4.1,P0,,1,Not Started,,
8. MBTRAIN.VALVREF,VV-04,Detection success if VALTRAIN errors < per-lane threshold,4.5.3.4.1,P0,maxError ThresholdPerLane,1,Not Started,,
8. MBTRAIN.VALVREF,VV-06,"On {MBTRAIN.VALVREF end resp}, must exit to MBTRAIN.DATAVREF",4.5.3.4.1,P0,,1,Not Started,,
9. MBTRAIN.DATAVREF,DV-01,Must use 4K UI of continuous LFSR pattern with correct valid framing,4.5.3.4.2,P0,,1,Not Started,,
9. MBTRAIN.DATAVREF,DV-02,Detection success if total error count < threshold per lane,4.5.3.4.2,P0,,1,Not Started,,
9. MBTRAIN.DATAVREF,DV-03,"On {MBTRAIN.DATAVREF end resp}, must exit to MBTRAIN.SPEEDIDLE",4.5.3.4.2,P0,,1,Not Started,,
10. SPEEDIDLE,SI-01,If from DATAVREF: must transition to highest common speed,4.5.3.4.3,P0,freqSel output,1,Not Started,,
10. SPEEDIDLE,SI-02,If from L1: must restore operating speed from last ACTIVE,4.5.3.4.3,P0,goToState logic,4,Not Started,,
10. SPEEDIDLE,SI-04,Else must exit to TRAINERROR,4.5.3.4.3,P0,,3,Not Started,,
11. TXSELFCAL,TC-01,Data/Clock/Valid/Track Tx are tri-stated; Rx permitted to be disabled,4.5.3.4.4,P0,,1,Not Started,,
12. RXCLKCAL,RCC-01,Partner must start sending forwarded clock and Track after start req received,4.5.3.4.5,P0,rxClkCalSendFwClkPattern,1,Not Started,,
18. DATATRAINCENTER2,DC2-01,Must use 4K UI continuous LFSR pattern with valid framing,4.5.3.4.11,P0,,1,Not Started,,
19. LINKSPEED,LS-01,Must verify link at operating speed via Tx-initiated point test or eye sweep,4.5.3.4.12,P0,,1,Not Started,,
19. LINKSPEED,LS-03,"If link test passes, must exit to LINKINIT",4.5.3.4.12,P0,,2,Not Started,,
19. LINKSPEED,LS-04,"If link test fails, must exit to PHYRETRAIN with speed degrade encoding",4.5.3.4.12,P0,,3,Not Started,,
21. LINKINIT,LI-01,Scrambler LFSR must be RESET upon entering this state,4.5.3.5,P0,,2,Not Started,,
21. LINKINIT,LI-03,Must coordinate with D2D Adapter to complete RDI Active entry,4.5.3.5,P0,RDI SM currently only RESET->ACTIVE,2,Not Started,,
22. ACTIVE,ACT-01,All data must be scrambled using LFSR described in 4.4.1,4.5.3.6,P0,,2,Not Started,,
24. TRAINERROR,TE-01,Data/Valid/Clock/Track Tx must be tri-stated; Rx permitted to be disabled,4.5.3.8,P0,,3,Not Started,,
24. TRAINERROR,TE-04,"If no response for 8ms, LTSM transitions to TRAINERROR unconditionally",4.5.3.8,P0,Timeout fallback,3,Not Started,,
26. RESET,RST-01,PHY must remain in RESET for minimum 4ms upon every entry,4.5.3.1,P0,resetMinWait logic,2,Not Started,,
26. RESET,RST-03,"Must not exit RESET until pwrGood, pllLock, and resetMinWait all asserted",4.5.3.1,P0,Exit conditions in LTSM,2,Not Started,,
27-30. Cross-Cut,XC-03,Requester and responder currentState must be synchronized at all transitions,N/A,P0,TODO SVA,1,Not Started,,
27-30. Cross-Cut,XC-08,LFSR must follow polynomial and implementation per 4.4.1,4.4.1,P0,UcieLFSR module,1,Not Started,,
